P1: JYS
fm     JWBT039-Steenbarger   January 9, 2009   15:45   Printer: Yet to come




          xii                                                                 CONTENTS



          Lesson 97: Code the Data                                                327
          Lesson 98: Examine Context                                              329
          Lesson 99: Filter Data                                                  332
          Lesson 100: Make Use of Your Findings                                   334
          Resources                                                               336

          CONCLUSION                                                             339

          Lesson 101: Find Your Path                                              339
          For More on Self-Coaching                                               341


          About the Author                                                       343

          Index                                                                  345

